Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAL,American Airlines Group Inc. Common Stock,$22.00,0.51,2.373%,14110428706.00,United States,,31973741,Transportation,Air Freight/Delivery Services
AAPL,Apple Inc. Common Stock,$130.21,0.69,0.533%,2257495041400.00,United States,1980,78891430,Technology,Computer Manufacturing
ABMD,ABIOMED Inc. Common Stock,$296.81,1.09,0.369%,13436870076.00,United States,,183271,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,$151.21,-2.43,-1.582%,90181493848.00,United States,2020,7126308,Capital Goods,Industrial Machinery/Components
ACGL,Arch Capital Group Ltd. Common Stock,$40.79,1.02,2.565%,16451152648.00,Bermuda,,2052665,Finance,Property-Casualty Insurers
ADBE,Adobe Inc. Common Stock,$488.73,5.12,1.059%,233612940000.00,United States,1986,1632328,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$157.26,1.84,1.184%,58092404160.00,United States,,2706544,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,$194.89,-0.43,-0.22%,82929265385.00,United States,,1968294,Miscellaneous,Business Services
ADSK,Autodesk Inc. Common Stock,$285.76,1.41,0.496%,62885188306.00,United States,,799591,Technology,Computer Software: Prepackaged Software
AEP,American Electric Power Company Inc. Common Stock,$87.19,-0.19,-0.217%,43573237376.00,United States,,2617043,Public Utilities,Electric Utilities: Central
AFRM,Affirm Holdings Inc. Class A Common Stock,$54.00,-0.44,-0.808%,13900002354.00,United States,2021,3327261,Technology,EDP Services
AKAM,Akamai Technologies Inc. Common Stock,$110.81,0.63,0.572%,18091071971.00,United States,1999,1411060,Miscellaneous,Business Services
ALGN,Align Technology Inc. Common Stock,$598.34,13.62,2.329%,47350578286.00,United States,2001,694666,Health Care,Industrial Specialties
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$131.30,-0.80,-0.606%,15433663752.00,United States,2004,325838,Health Care,Major Pharmaceuticals
ALXN,Alexion Pharmaceuticals Inc. Common Stock,$170.43,0.57,0.336%,37668307369.00,United States,1996,1372397,Health Care,Biotechnology: Commercial Physical & Biological Resarch
AMAT,Applied Materials Inc. Common Stock,$132.95,1.22,0.926%,122003007614.00,United States,1972,7523096,Capital Goods,Industrial Machinery/Components
AMD,Advanced Micro Devices Inc. Common Stock,$78.81,0.92,1.181%,95755803119.00,United States,,36931601,Technology,Semiconductors
AMGN,Amgen Inc. Common Stock,$254.21,2.91,1.158%,146057368781.00,United States,1983,2512725,Health Care,Major Pharmaceuticals
AMZN,Amazon.com Inc. Common Stock,$3291.61,-14.76,-0.446%,1660037052655.00,United States,1997,4706680,Consumer Services,Catalog/Specialty Distribution
ANSS,ANSYS Inc. Common Stock,$332.38,-0.28,-0.084%,28967439834.00,United States,1996,605939,Technology,Computer Software: Prepackaged Software
APP,Applovin Corporation Class A Common Stock,$57.26,0.33,0.58%,20496520993.00,United States,2021,552593,Technology,EDP Services
ARGX,argenx SE American Depositary Shares,$263.70,5.42,2.098%,13529289357.00,Netherlands,2017,130280,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARVL,Arrival Ordinary Shares,$18.52,0.57,3.175%,11226032585.00,Luxembourg,,2086697,Capital Goods,Auto Manufacturing
ASML,ASML Holding N.V. New York Registry Shares,$658.57,14.23,2.208%,274303647371.00,Netherlands,1995,573734,Technology,Industrial Machinery/Components
ATVI,Activision Blizzard Inc. Common Stock,$94.80,1.77,1.903%,73661188753.00,United States,,6511443,Technology,Computer Software: Prepackaged Software
AVGO,Broadcom Inc. Common Stock,$452.58,4.00,0.892%,184789466701.00,United States,2009,1170354,Technology,Semiconductors
AZN,AstraZeneca PLC American Depositary Shares,$53.81,0.33,0.617%,141278595381.00,United Kingdom,,4775338,Health Care,Major Pharmaceuticals
BGNE,BeiGene Ltd. American Depositary Shares,$311.97,-2.03,-0.646%,28760622866.00,Cayman Islands,2016,304112,Health Care,Major Pharmaceuticals
