СТИК.461531.001-01 (эталон) : Блок навигации и посадки ИРК-2-21 : 

"Тип объекта";"Обозначение";"Наименование";"Версия";"Количество";"Ед.изм.";"Тип";"Источник";"Стандартное";"Состояние";"Основная ед.изм.";"Код 1";"Код 2"

"Версия изделия : Сборочная единица";"СТИК.305432.026";"Табличка";"";"1.00";"Штука";"Сборочная единица";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.754152.045";"Трубка VIPER";"";"4.00";"Штука";"Деталь";"Не известно";"";"В разработке";"Штука";"";""
"Версия изделия : Сборочная единица";"СТИК.305432.032";"Табличка индикаторная";"";"1.00";"Штука";"Сборочная единица";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Сборочная единица";"СТИК.469551.004";"Корпус ИРК-2-21";"";"1.00";"Штука";"Сборочная единица";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Сборочная единица";"СТИК.466229.002-01";"Субблок ВИМЗ/МАВИм";"";"1.00";"Штука";"Сборочная единица";"Не известно";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.754312.011-373";"Шильдик";"";"1.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"2-7-Кд ОСТ 1 31542-80";"Винт";"";"26.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Сборочная единица";"ИЯДС.436734.002";"Модуль вторичного электропитания МВЭ-2-50";"";"1.00";"Штука";"Сборочная единица";"Покупное";"";"В разработке";"Штука";"";""
"Версия изделия : Сборочная единица";"ТДЦК.467345.001";"Модуль навигации";"";"1.00";"Штука";"Сборочная единица";"Покупное";"";"В разработке";"Штука";"";""
"Версия изделия : Комплект";"СТИК.305646.035-08";"Упаковка";"";"1.00";"Штука";"Комплект";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.754312.056";"Двухсторонний скотч Tesatix 4969";"";"1.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.754312.057";"Пленка для печати на монохромном лазерном принтере Basf (Verbatim, Lomond)";"";"1.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.754312.044";"Двухсторонний скотч Tesatix 4969";"";"1.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.754312.045";"Пленка для печати на монохромном лазерном принтере Basf (Verbatim,Lomond)";"";"1.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Сборочная единица";"ИЯДС.466226.002-01";"Модуль ВИМ-3U-3П";"";"1.00";"#628194";"Сборочная единица";"Не известно";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.754312.011-354";"Шильдик";"";"1.00";"#686828";"Деталь";"Не известно";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"2,5-6-Кд ОСТ 1 31528-80";"Винт";"";"9.00";"#769918";"Деталь";"Не известно";"";"В разработке";"";"";""
"Версия изделия : Деталь";"2,5-6-Кд ОСТ 1 31528-80";"Винт";"";"12.00";"Штука";"Деталь";"Не известно";"";"В разработке";"";"";""
"Версия изделия : Сборочная единица";"СТИК.468363.017";"Кросс-плата";"";"1.00";"Штука";"Сборочная единица";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"2-6-Кд ОСТ 1 31528-80";"Винт";"";"15.00";"#770438";"Деталь";"Не известно";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"2-6-Кд ОСТ 1 31528-80";"Винт";"";"4.00";"Штука";"Деталь";"Не известно";"Да";"В разработке";"Штука";"";""
"Версия изделия : Сборочная единица";"СТИК.467451.006";"Модуль авиационных интерфейсов мезонинный МАВИм-3";"";"1.00";"#770945";"Сборочная единица";"Не известно";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"0,3-2-5-Кд ОСТ 1 34505-80";"Шайба";"";"15.00";"#770954";"Деталь";"Не известно";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"0,3-2,5-5-Кд ОСТ 1 34505-80";"Шайба";"";"9.00";"#770957";"Деталь";"Не известно";"Да";"В разработке";"Штука";"";""
"Версия изделия : Материал";"КПТД-2М/3-0,50 55х58 мм ТУ РБ 100009933.004-2001";"Лист";"";"1.00";"#770963";"Материал";"Не известно";"";"В разработке";"Штука";"";""
"Версия изделия : Материал";"3К ОСТ17-330-2002";"Нитки специальные";"";"1.00";"#775820";"Материал";"Не известно";"";"В разработке";"";"";""
"Версия изделия : Деталь";"3-10-Кд ОСТ1 31542-80";"Винт";"";"6.00";"Штука";"Деталь";"Не известно";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"2,5-5-Кд ОСТ 1 31542-80";"Винт";"";"8.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"";"";""
"Версия изделия : Сборочная единица";"СТИК.301243.006";"Каркас";"";"1.00";"Штука";"Сборочная единица";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Сборочная единица";"СТИК.468389.023-02";"Плата индикации";"";"1.00";"Штука";"Сборочная единица";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.715533.019";"Стойка";"";"5.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.758491.078";"Шайба";"";"7.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"2,5-5-Кд ОСТ 1 31528-80";"Винт";"";"4.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"2,5-8-Кд ОСТ1 31542-80";"Винт";"";"7.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"3-Хим. Пас.-ОСТ 1 33036-80";"Гайка";"";"6.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"0,5-2,5-6-Кд ОСТ1 34505-80";"Шайба";"";"4.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"0,5-3-6-Кд ОСТ1 34505-80";"Шайба";"";"6.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Материал";"ПМ-А 100 ТУ6-19-121-85 166х85 мм";"Пленка";"";"2.00";"Штука";"Материал";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"3-8-Кд ОСТ1 31528-80";"Винт";"";"1.00";"Штука";"Деталь";"Покупное";"Да";"Утверждено";"";"";""
"Версия изделия : Деталь";"СТИК.711441.004";"Упор";"";"1.00";"Штука";"Деталь";"Не известно";"";"В разработке";"";"";""
"Версия изделия : Деталь";"BAV23";"Диодная сборка";"";"1.00";"Штука";"Деталь";"Покупное";"";"В разработке";"";"";""
"Версия изделия : Деталь";"СТИК.746714.025";"Ручка";"";"1.00";"Штука";"Деталь";"Не известно";"";"В разработке";"";"";""
"Версия изделия : Деталь";"FFMD-05-T-02.00-01-N";"Соединитель";"";"1.00";"Штука";"Деталь";"Не известно";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.758491.069";"Шайба";"";"18.00";"Штука";"Деталь";"Не известно";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.713351.022-01";"Чашка пломбировочная";"";"8.00";"Штука";"Деталь";"Не известно";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"280-027S 2H26 JF N A";"Соединитель";"";"1.00";"Штука";"Деталь";"Покупное";"";"В разработке";"";"";""
"Версия изделия : Деталь";"2,5-6-Кд ОСТ 1 31542-80";"Винт";"";"86.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"";"";""
"Версия изделия : Деталь";"СТИК.741424.067";"Стенка";"";"1.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.741424.068";"Стенка";"";"1.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.741424.069";"Планка";"";"1.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
